"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","tblSystemForemen","AllowCTCTrackAuthority"
"dbo","tblSystemIncidentReportsActive","TrackGUID"
"dbo","tblSystemIncidentReportsActive","ControlPointName"
"dbo","tblSystemIncidentReportsActive","ControlPointUID"
"dbo","tblSystemIncidentReportsActive","TrackName"
"dbo","tblSystemIncidentReportsActive","TrainDelayUIDReferences"
"dbo","tblSystemIncidentReportsActive","XingTrainNotificationList"
"dbo","tblSystemIncidentReportsActive","EnrouteDetails"
"dbo","tblSystemIncidentReportsActive","TrainSymbol"
"dbo","tblSystemIncidentReportsActive","EnrouteHeader"
"dbo","tblSystemIncidentReportsActive","CurrentIRControlName"
"dbo","tblSystemIncidentReportsActive","TrainSymbolDefectDetector"
"dbo","tblSystemIncidentReportsActive","DetectorMessage"
"dbo","tblSystemIncidentReportsActive","TrainDetails"
"dbo","tblSystemIncidentReportsInActive","TrackGUID"
"dbo","tblSystemIncidentReportsInActive","ControlPointName"
"dbo","tblSystemIncidentReportsInActive","ControlPointUID"
"dbo","tblSystemIncidentReportsInActive","TrackName"
"dbo","tblSystemIncidentReportsInActive","TrainDelayUIDReferences"
"dbo","tblSystemIncidentReportsInActive","XingTrainNotificationList"
"dbo","tblSystemIncidentReportsInActive","EnrouteDetails"
"dbo","tblSystemIncidentReportsInActive","TrainSymbol"
"dbo","tblSystemIncidentReportsInActive","EnrouteHeader"
"dbo","tblSystemIncidentReportsInActive","CurrentIRControlName"
"dbo","tblSystemIncidentReportsInActive","TrainSymbolDefectDetector"
"dbo","tblSystemIncidentReportsInActive","DetectorMessage"
"dbo","tblSystemIncidentReportsInActive","TrainDetails"
"dbo","tblSystemPlatformScheduleEvents","ControllerName"
"dbo","tblSystemPlatformScheduleEvents","TrainDesignation"
"dbo","tblSystemPlatformScheduleEvents","TrackDesignation"
"dbo","tblSystemPlatformScheduleEvents","TrainArrivalTime"
"dbo","tblSystemPlatformScheduleEvents","TrainDepartureTime"
"dbo","tblSystemPlatformScheduleEvents","TrainDestination"
"dbo","tblSystemPlatformScheduleEvents","RouteCode"
"dbo","tblSystemPlatformScheduleEvents","ControllerNameID"
"dbo","tblSystemPlatformScheduleEvents","TrainArrivalTimeChange"
"dbo","tblSystemPlatformScheduleEvents","TrainDepartureTimeChange"
"dbo","tblSystemPlatformScheduleEvents","TrackDesignationChange"
"dbo","tblSystemPlatformScheduleEvents","TrainDesignationID"
"dbo","tblSystemPlatformScheduleEvents","TrainAnnulledTimeStamp"
"dbo","tblSystemPlatformScheduleEvents","IsGroupMessage"
"dbo","tblSystemPlatformScheduleEvents","IsAllPlatformMessage"
"dbo","tblSystemPlatformScheduleEvents","TrainOrigin"
"dbo","tblSystemPTCDataSetsActive","TrainSymbol"
"dbo","tblSystemPTCDataSetsInActive","TrainSymbol"
"dbo","tblSystemPTCTrainsActive","TrainSymbol"
"dbo","tblSystemPTCTrainsActive","TrainSheetRoute"
"dbo","tblSystemPTCTrainsActive","TrainDirection"
"dbo","tblSystemPTCTrainsInActive","TrainSymbol"
"dbo","tblSystemPTCTrainsInActive","TrainSheetRoute"
"dbo","tblSystemPTCTrainsInActive","TrainDirection"
"dbo","tblSystemQueueRcvd","Message"
"dbo","tblSystemQueueRcvd","MessageNo"
"dbo","tblSystemQueueReceive","MessageUID"
"dbo","tblSystemQueueReceive","MessageVersion"
"dbo","tblSystemQueueReceive","MessageEdition"
"dbo","tblSystemQueueReceive","MessageData"
"dbo","tblSystemQueueSend","Message"
"dbo","tblSystemQueueTransmit","MessageUID"
"dbo","tblSystemQueueTransmit","MessageVersion"
"dbo","tblSystemQueueTransmit","MessageEdition"
"dbo","tblSystemQueueTransmit","MessageData"
"dbo","tblSystemTabularGeneralBulletinActive","RouteCodeUID"
"dbo","tblSystemTabularGeneralBulletinActive","RouteCodeName"
"dbo","tblSystemTabularGeneralBulletinActive","TrainSymbolListings"
"dbo","tblSystemTabularGeneralBulletinActive","TrackTagList"
"dbo","tblSystemTabularGeneralBulletinActive","DOBAssociatedTrains"
"dbo","tblSystemTabularGeneralBulletinExceptionActive","RouteCodeName"
"dbo","tblSystemTabularGeneralBulletinExceptionActive","DOBDeliveredTrains"
"dbo","tblSystemTabularGeneralBulletinExceptionInactive","RouteCodeName"
"dbo","tblSystemTabularGeneralBulletinExceptionInactive","DOBDeliveredTrains"
"dbo","tblSystemTabularGeneralBulletinInactive","RouteCodeUID"
"dbo","tblSystemTabularGeneralBulletinInactive","RouteCodeName"
"dbo","tblSystemTabularGeneralBulletinInactive","TrainSymbolListings"
"dbo","tblSystemTabularGeneralBulletinInactive","TrackTagList"
"dbo","tblSystemTabularGeneralBulletinInactive","DOBAssociatedTrains"
"dbo","tblSystemTabularGeneralBulletinSuspensionsActive","RouteCodeName"
"dbo","tblSystemTabularGeneralBulletinSuspensionsInActive","RouteCodeName"
"dbo","tblSystemWorkTasksActive","MessageVersion"
"dbo","tblSystemWorkTasksActive","MessageEdition"
"dbo","tblSystemWorkTasksInActive","MessageVersion"
"dbo","tblSystemWorkTasksInActive","MessageEdition"
"dbo","tblTemporarySpeedRestriction","CompTrackUID"
"dbo","tblTemporarySpeedRestrictionInActive","CompTrackUID"
"dbo","tblTrackAutoTagsActive","TrackGUID"
"dbo","tblTrackAutoTagsInActive","TrackGUID"
"dbo","tblTrackIntegrityStatuses","TrackIntegrityUID"
"dbo","tblTrackTagsActive","TrackGUID"
"dbo","tblTrackTagsActive","PTCTrackSegments"
"dbo","tblTrackTagsInActive","TrackGUID"
"dbo","tblTrackTagsInActive","PTCTrackSegments"
"dbo","tblTrainClassification","TrainType"
"dbo","tblTrainConsistActive","TrainSymbol"
"dbo","tblTrainConsistActive","TrainGUID"
"dbo","tblTrainConsistInActive","TrainSymbol"
"dbo","tblTrainConsistInActive","TrainGUID"
"dbo","tblTrainEventActiveComments","TrainSheetUID"
"dbo","tblTrainEventActiveDelays","TrainSheetUID"
"dbo","tblTrainEventActiveDelays","EventTrackName"
"dbo","tblTrainEventActiveModifications","TrainSheetUID"
"dbo","tblTrainEventActiveMovements","TrainSheetUID"
"dbo","tblTrainEventActiveMovements","EventTrackGUID"
"dbo","tblTrainEventActiveMovements","EventTrackName"
"dbo","tblTrainEventActiveMovements","EventTrainSymbol"
"dbo","tblTrainEventActiveMovements","EventTrainLeadUnit"
"dbo","tblTrainEventActiveMovements","EventTrainHomeRoadCode"
"dbo","tblTrainEventActiveMovements","EventTrainLocomotiveData"
"dbo","tblTrainEventActiveMovements","EventTrainConsistData"
"dbo","tblTrainEventActiveMovements","EventTrainType"
"dbo","tblTrainEventActiveOther","TrainSheetUID"
"dbo","tblTrainEventActivePendingActions","TrainSheetUID"
"dbo","tblTrainEventActivePendingActions","TrainSymbol"
"dbo","tblTrainEventActiveRestrictions","TrackName"
"dbo","tblTrainEventActiveWorkOrders","TrainSheetUID"
"dbo","tblTrainEventActiveWorkOrders","TrainSymbol"
"dbo","tblTrainEventActiveWorkOrders","CrewRoute"
"dbo","tblTrainEventActiveWorkOrders","KeyTrain"
"dbo","tblTrainEventInActiveComments","TrainSheetUID"
"dbo","tblTrainEventInActiveDelays","TrainSheetUID"
"dbo","tblTrainEventInActiveDelays","EventTrackName"
"dbo","tblTrainEventInActiveModifications","TrainSheetUID"
"dbo","tblTrainEventInActiveMovements","TrainSheetUID"
"dbo","tblTrainEventInActiveMovements","EventTrackGUID"
"dbo","tblTrainEventInActiveMovements","EventTrackName"
"dbo","tblTrainEventInActiveMovements","EventTrainSymbol"
"dbo","tblTrainEventInActiveMovements","EventTrainLeadUnit"
"dbo","tblTrainEventInActiveMovements","EventTrainHomeRoadCode"
