"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200805","200020","SHELLY","1173POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","23","0;1;200020;","0;1;200020;","0;1;200020;","17;1;200020;23","0;1;200020;23","0;1;200020;23","200","1","ESCONDIDO","",,,,"NONE"
"200806","200019","LOOP EAST","B1177POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","19;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200807","200019","LOOP EAST","B1176DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","18;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200808","200019","LOOP EAST","B1176POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","17;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200809","200019","LOOP EAST","B1177DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","20;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200810","200019","LOOP EAST","1188POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","21;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200811","200019","LOOP EAST","1188DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","24","0;1;200019;","0;1;200019;","0;1;200019;","22;1;200019;24","0;1;200019;24","0;1;200019;24","200","1","ESCONDIDO","",,,,"NONE"
"200812","200025","NORDAHL","1193DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","25","0;1;200025;","0;1;200025;","0;1;200025;","20;1;200025;25","0;1;200025;25","0;1;200025;25","200","1","ESCONDIDO","",,,,"NONE"
"200813","200025","NORDAHL","1193POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","25","0;1;200025;","0;1;200025;","0;1;200025;","19;1;200025;25","0;1;200025;25","0;1;200025;25","200","1","ESCONDIDO","",,,,"NONE"
"200814","200025","NORDAHL","1193MOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","25","0;1;200025;","0;1;200025;","0;1;200025;","21;1;200025;25","0;1;200025;25","0;1;200025;25","200","1","ESCONDIDO","",,,,"NONE"
"200815","200025","NORDAHL","1193LOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","25","0;1;200025;","0;1;200025;","0;1;200025;","22;1;200025;25","0;1;200025;25","0;1;200025;25","200","1","ESCONDIDO","",,,,"NONE"
"200816","200026","HOLDOUT","1199POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","26","0;1;200026;","0;1;200026;","0;1;200026;","11;1;200026;26","0;1;200026;26","0;1;200026;26","200","1","ESCONDIDO","",,,,"NONE"
"200817","200026","HOLDOUT","1196DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","26","0;1;200026;","0;1;200026;","0;1;200026;","10;1;200026;26","0;1;200026;26","0;1;200026;26","200","1","ESCONDIDO","",,,,"NONE"
