"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"29057","BNSF  5121","2026-03-24 오전 8:44:41","ICD_4_0"
"24232","BNSF  7684","2026-03-24 오전 8:44:39","BOS_ICD_3_0"
"30038","SCAX   672","2026-03-24 오전 8:44:39","BOS_ICD_3_0"
"26179","BNSF  7667","2026-03-24 오전 8:44:34","BOS_ICD_3_0"
"27078","BNSF   611","2026-03-24 오전 8:44:34","BOS_ICD_3_0"
"10766","SCAX   694","2026-03-24 오전 8:44:10","BOS_ICD_3_0"
"29580","BNSF  6600","2026-03-24 오전 8:44:05","BOS_ICD_3_0"
"29480","AMTK   519","2026-03-24 오전 8:43:38","BOS_ICD_3_0"
"26603","BNSF  7482","2026-03-24 오전 8:43:37","BOS_ICD_3_0"
"26071","BNSF  7344","2026-03-24 오전 8:43:34","BOS_ICD_3_0"
"19790","BNSF  7914","2026-03-24 오전 8:43:28","ICD_4_0"
"30211","BNSF  2104","2026-03-24 오전 8:43:25","ICD_4_0"
"26643","BNSF   127","2026-03-24 오전 8:43:07","BOS_ICD_3_0"
"13287","BNSF  6285","2026-03-24 오전 8:42:52","BOS_ICD_3_0"
"21441","BNSF  9318","2026-03-24 오전 8:42:50","BOS_ICD_3_0"
"27813","BNSF  3154","2026-03-24 오전 8:42:34","BOS_ICD_3_0"
"21507","BNSF  9307","2026-03-24 오전 8:42:31","ICD_4_0"
"27330","BNSF  4012","2026-03-24 오전 8:42:17","BOS_ICD_3_0"
"26052","BNSF  6708","2026-03-24 오전 8:42:12","ICD_4_0"
"26448","BNSF  6047","2026-03-24 오전 8:42:10","BOS_ICD_3_0"
"22218","BNSF  5349","2026-03-24 오전 8:41:55","BOS_ICD_3_0"
"25704","BNSF  6535","2026-03-24 오전 8:41:42","BOS_ICD_3_0"
"28287","METX   201","2026-03-24 오전 8:41:39","BOS_ICD_3_0"
"24001","BNSF  6228","2026-03-24 오전 8:41:21","BOS_ICD_3_0"
"29455","BNSF  4207","2026-03-24 오전 8:41:08","ICD_4_0"
"24895","BNSF  7891","2026-03-24 오전 8:41:06","BOS_ICD_3_0"
"21276","BNSF  7490","2026-03-24 오전 8:40:47","BOS_ICD_3_0"
"28083","BNSF  8774","2026-03-24 오전 8:40:43","ICD_4_0"
"28928","SCAX   677","2026-03-24 오전 8:40:40","BOS_ICD_3_0"
"28381","BNSF  7560","2026-03-24 오전 8:40:30","BOS_ICD_3_0"
"26180","BNSF  2848","2026-03-24 오전 8:40:26","ICD_4_0"
"28506","BNSF  5380","2026-03-24 오전 8:40:22","BOS_ICD_3_0"
"5477","SCAX   929","2026-03-24 오전 8:40:09","BOS_ICD_3_0"
"23634","BNSF  6867","2026-03-24 오전 8:40:01","BOS_ICD_3_0"
"19151","BNSF  5743","2026-03-24 오전 8:39:58","ICD_4_0"
"27412","BNSF  7173","2026-03-24 오전 8:39:40","BOS_ICD_3_0"
"26907","BNSF  5862","2026-03-24 오전 8:39:35","BOS_ICD_3_0"
"27128","BNSF  4047","2026-03-24 오전 8:39:30","ICD_4_0"
"25496","BNSF  8072","2026-03-24 오전 8:39:27","ICD_4_0"
"26374","BNSF  8370","2026-03-24 오전 8:39:07","BOS_ICD_3_0"
"24883","BNSF  9019","2026-03-24 오전 8:38:55","BOS_ICD_3_0"
"26362","BNSF  6045","2026-03-24 오전 8:38:49","ICD_4_0"
"29465","SCAX   938","2026-03-24 오전 8:38:47","BOS_ICD_3_0"
"24244","BNSF  8031","2026-03-24 오전 8:38:45","BOS_ICD_3_0"
"12793","AMTK    15","2026-03-24 오전 8:38:25","BOS_ICD_3_0"
"25128","BNSF  7839","2026-03-24 오전 8:38:23","BOS_ICD_3_0"
"18986","BNSF  3646","2026-03-24 오전 8:37:47","ICD_4_0"
"12372","AMTK    77","2026-03-24 오전 8:37:43","BOS_ICD_3_0"
"29264","BNSF  4682","2026-03-24 오전 8:37:08","ICD_4_0"
"27383","BNSF  8508","2026-03-24 오전 8:36:58","BOS_ICD_3_0"
"28610","BNSF  7826","2026-03-24 오전 8:36:46","BOS_ICD_3_0"
"23520","BNSF  8384","2026-03-24 오전 8:36:43","BOS_ICD_3_0"
"26777","BNSF  3330","2026-03-24 오전 8:36:40","BOS_ICD_3_0"
"25912","BNSF  8154","2026-03-24 오전 8:36:27","BOS_ICD_3_0"
"29257","BNSF  6001","2026-03-24 오전 8:36:19","BOS_ICD_3_0"
"23778","BNSF  9322","2026-03-24 오전 8:36:16","ICD_4_0"
"25605","BNSF  9072","2026-03-24 오전 8:35:59","BOS_ICD_3_0"
"28395","BNSF  5980","2026-03-24 오전 8:35:50","BOS_ICD_3_0"
"29595","BNSF  5427","2026-03-24 오전 8:35:46","ICD_4_0"
"30260","BNSF  5319","2026-03-24 오전 8:35:41","BOS_ICD_3_0"
"22609","SCAX   933","2026-03-24 오전 8:35:30","BOS_ICD_3_0"
"29337","BNSF  4186","2026-03-24 오전 8:35:24","ICD_4_0"
"15574","AMTK    50","2026-03-24 오전 8:35:22","BOS_ICD_3_0"
"10899","SCAX   931","2026-03-24 오전 8:35:18","BOS_ICD_3_0"
"29711","BNSF  3927","2026-03-24 오전 8:35:04","ICD_4_0"
"26915","BNSF  6560","2026-03-24 오전 8:34:54","ICD_4_0"
"27224","BNSF  9036","2026-03-24 오전 8:34:43","ICD_4_0"
"24032","BNSF  6620","2026-03-24 오전 8:34:33","ICD_4_0"
