"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","ASH","2025-03-11 오전 2:08:53","100523","SAN DIEGO","VSBDSDG4 10|3/11/2025 02:08:53|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|ASH|100033||NONE|0|BNSF  3706|NONE|","4437CE3D-1CFB-48A4-80EF-63B5B2EDE66A",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","CONVAIR","2025-03-11 오전 2:04:04","100617","SAN DIEGO","VSBDSDG4 10|3/11/2025 02:04:04|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|CONVAIR|100035||NONE|0|BNSF  3706|NONE|","715EF0C1-4FA5-46A7-BA57-2C23A58F540E",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","CUDAHY","2025-03-11 오전 1:58:51","100283","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:58:51|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|CUDAHY|100004||NONE|0|BNSF  3706|NONE|","C74B25E8-0ABD-49DE-9519-FA58F85B1380",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","ROSE","2025-03-11 오전 1:34:15","100320","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:34:15|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|ROSE|100007||NONE|0|BNSF  3706|NONE|","4B3DD49D-2290-4A6F-B5B1-5062BB3916D3",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","MIRAMAR","2025-03-11 오전 1:27:07","100436","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:27:07|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|MIRAMAR|100027||NONE|0|BNSF  3706|NONE|","373C7609-5D39-472B-9F91-E8547A868689",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","SCRIPPS","2025-03-11 오전 1:20:46","100821","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:20:46|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|SCRIPPS|100015||NONE|0|BNSF  3706|NONE|","BB38D9B8-79AF-43E0-BF34-41B2FB4FA2CC",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","SORRENTO","2025-03-11 오전 1:16:10","100640","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:16:10|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|SORRENTO|100010||NONE|0|BNSF  3706|NONE|","457DFD99-5EEA-48E9-B585-0D9504DEADA8",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","TORREY","2025-03-11 오전 1:13:57","100180","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:13:57|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|TORREY|100025||NONE|0|BNSF  3706|NONE|","847AF2A1-66D9-406C-912A-1EB1E96FD71E",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","DEL MAR","2025-03-11 오전 1:08:53","100404","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:08:53|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|DEL MAR|100024||NONE|0|BNSF  3706|NONE|","16BADCB3-F202-4548-8E36-05089C7C2527",,"CANADA, GLORIA {GC}"
"77D8A7B5-ADA8-4298-9033-38E7C495927D","CROSBY","2025-03-11 오전 1:08:03","100390","SAN DIEGO","VSBDSDG4 10|3/11/2025 01:08:03|0|73|3743|7142||BNSF  7014;BNSF  6822;BNSF  4123;|CROSBY|100023||NONE|0|BNSF  3706|NONE|","DB9122BC-C6B7-4552-AFC9-BE8F39D82679",,"CANADA, GLORIA {GC}"
