"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPCTL1","CPCTL2","CPCTL3","TerritoryAssignment","MatchMode","IndicateOnly","ControlOnly","FlashIndicate","FlashControl","Color","TypeOfDevice","Subdivision","GraphicGroup","ScreenRegion","TrackGUID","FontString","SecondaryText","DeviceControl","ControlStatus","Notes","AlarmOnIndication","AlarmNotification","SlotControlOnIndication","InvertIndication","ManualOperateMode","AllowSnowMelterTimer","SnowMelterTime","ScadaMode","TrackInterlockMode","DisableSlotting","RRUniqueIdentifierName","ScadaSuppressTime","DeviceCategory"
"200758","200010","1082DOK","D","220","340","260","380","0","0","0","0","0","0","15","26;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200759","200010","1085POK","D","220","315","265","365","0","0","0","0","0","0","15","27;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","6","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200760","200010","1085DOK","D","340","315","345","350","0","0","0","0","0","0","15","28;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","6","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200761","200010","1088POK","D","340","340","360","390","0","0","0","0","0","0","15","29;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200762","200010","1088DOK","D","340","365","350","410","0","0","0","0","0","0","15","30;1;200010;15","0;1;200010;0001","0;1;200010;0001","0;1;200010;","0;1;200010;","0;1;200010;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200763","200011","1092MOK","D","490","310","515","330","0","0","0","0","0","0","16","22;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","6","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200764","200011","1092DOK","D","490","335","515","355","0","0","0","0","0","0","16","21;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200765","200011","1092POK","D","490","360","525","385","0","0","0","0","0","0","16","20;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200766","200011","1092LOK","D","605","310","625","330","0","0","0","0","0","0","16","23;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","6","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200767","200011","1093POK","D","605","335","620","355","0","0","0","0","0","0","16","26;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200768","200011","1093DOK","D","605","360","630","385","0","0","0","0","0","0","16","27;1;200011;16","0;1;200011;0001","0;1;200011;0001","0;1;200011;","0;1;200011;","0;1;200011;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200770","200012","1096DOK","D","695","325","735","350","0","0","0","0","0","0","17","14;1;200012;17","0;1;200012;0001","0;1;200012;0001","0;1;200012;","0;1;200012;","0;1;200012;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","6","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200771","200012","1096POK","D","695","360","740","390","0","0","0","0","0","0","17","13;1;200012;17","0;1;200012;0001","0;1;200012;0001","0;1;200012;","0;1;200012;","0;1;200012;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
