"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","UID"
"C","5","100004","1","7","4EGHS","4 EASTBOUND SIGNAL CONTROL","None","E000BFA5-663F-46FB-80D9-FBAFF0695D2D"
"I","5","100004","1","7","4EGK","4 EASTBOUND SIGNAL INDICATION","None","CDAF9EC6-11FC-47A8-9DFF-55E8AD294D09"
"C","5","100004","1","8","4WGHS","4 WESTBOUND SIGNAL CONTROL","None","80CAF053-2FBE-45B9-B27C-12B241F52303"
"I","5","100004","1","8","4WGK","4 WESTBOUND SIGNAL INDICATION","None","89A2E143-D558-44BC-B20F-0DCDEB5E5E6D"
"C","5","100004","1","9","BLANK","BLANK CONTROL","None","C6850771-E091-484A-B3B4-696FA120144A"
"I","5","100004","1","9","1TK","1 OS TRACK INDICATION","None","E009E4F2-F8EB-4DA4-90C9-0BD82C07E652"
"C","5","100004","1","10","BLANK","BLANK CONTROL","None","49CDE0EA-9FF2-4CCB-987E-A4E66657F1BC"
"I","5","100004","1","10","3TK","3 OS TRACK INDICATION","None","A60DC9CE-DAD9-4169-A04A-2EE313028CA2"
"C","5","100004","1","11","BLANK","BLANK CONTROL","None","A53DB3F5-DFD8-4B8A-A298-D4446AE17B3E"
"I","5","100004","1","11","2TEK","2 SIGNAL INTIME INDICATION","None","2DD9B56A-1CE3-4588-BBA8-C1B32F60CA7B"
"C","5","100004","1","12","BLANK","BLANK CONTROL","None","A507870E-0BA8-455E-BC4F-BBBD119939C8"
"I","5","100004","1","12","4TEK","4 SIGNAL INTIME INDICATION","None","DF97875A-6963-4C0B-ADDC-6BD171C58858"
"C","5","100004","1","13","BLANK","BLANK CONTROL","None","AC35DDC1-61C8-4A06-BD66-CA9BF176000A"
"I","5","100004","1","13","2EAK","2EAK","None","F7DCDCE6-E07C-4ECB-95F2-4C2012A3391F"
"C","5","100004","1","14","BLANK","BLANK CONTROL","None","7FC75C25-791A-4116-B408-6EF6CDF98E4E"
"I","5","100004","1","14","2WAK","2WAK","None","D9454F12-66BD-44A7-A55E-5F72949A7867"
"C","5","100004","1","15","BLANK","BLANK CONTROL","None","293D161F-1296-4E2F-8E1F-80F6D45762C8"
"I","5","100004","1","15","4EAK","4EAK","None","A2A361EA-127E-4DD9-AAA8-9042F43D8E42"
"C","5","100004","1","16","BLANK","BLANK CONTROL","None","7F2DFBA4-FAE7-48FE-8080-99FB8447C561"
"I","5","100004","1","16","4WAK","4WAK","None","38CE31EC-2C64-4654-BDD6-B0C1BE3A6A0A"
"C","5","100004","1","17","BLANK","BLANK CONTROL","None","09050867-A941-459D-8607-6F54AD68BB55"
"I","5","100004","1","17","POK","POWER OFF INDICATION","None","3351DA47-A86E-4CE5-BDA3-F388D3AB9AD7"
"C","5","100004","1","18","BLANK","BLANK CONTROL","None","7047140B-6C70-4FA5-82C5-36D067F507B2"
"I","5","100004","1","18","LCK","LOCAL CONTROL","None","A6A81669-77A2-4E9B-9155-6462E7B029C3"
"C","5","100004","1","19","BLANK","BLANK CONTROL","None","718C2EFB-3B18-4C13-9838-400FBA0CC94D"
"I","5","100004","1","19","DOK","ILLEGAL ENTRY INDICATION","None","06E4424E-45C2-43BC-8664-F2BBBCC253F6"
"C","5","100004","1","20","BLANK","BLANK CONTROL","None","CFB72042-54FD-48BE-8DFB-26C675CA66A5"
"I","5","100004","1","20","LOK","LIGHT OUT INDICATION","None","B3EEB95A-1EAC-49A6-80EF-0B84B7A87B0E"
"C","5","100004","1","21","BLANK","BLANK CONTROL","None","ADE584A2-FB99-4557-8FD4-A477301EBB41"
"I","5","100004","1","21","BLANK","BLANK INDICATION","None","25E26E0A-C0F4-4375-B301-26575F354A96"
"C","5","100004","1","22","BLANK","BLANK CONTROL","None","A417A233-5AF9-4C66-82F8-62075B3808C3"
"I","5","100004","1","22","BLANK","BLANK INDICATION","None","B43E0EA6-B5C2-465C-AE07-9E472412B486"
"C","5","100004","1","23","BLANK","BLANK CONTROL","None","D52415EB-F8D1-4180-A869-9EE0550DAD63"
"I","5","100004","1","23","BLANK","BLANK INDICATION","None","0436F0FE-EB37-4D81-B904-C574100DDF64"
"C","5","100004","1","24","BLANK","BLANK CONTROL","None","2221FDDE-D021-46B7-A23C-270E8F3578C3"
"I","5","100004","1","24","BLANK","BLANK INDICATION","None","1B601872-4305-4CB9-86F0-975A075D2A23"
"C","5","100005","1","1","NWS","NORMAL SWITCH CONTROL","None","2F458C54-419A-46EC-9964-E5B5FC01F883"
"I","5","100005","1","1","NWK","NORMAL SWITCH INDICATION","None","63F08C69-CC67-43F2-9A2A-E90D758E8F77"
"C","5","100005","1","2","BLANK","BLANK CONTROL","None","07A5189F-492E-4351-AD8D-DC05DBAB776F"
"I","5","100005","1","2","1TK","1 OS TRACK INDICATION","None","3E511B60-3794-4888-B11B-88910C4067F8"
"C","5","100005","1","3","RWS","REVERSE SWITCH CONTROL","None","B4FEE63C-41BB-47D3-B67C-F17FB2437A63"
"I","5","100005","1","3","1RWK","1 REVERSE SWITCH INDICATION","None","02083C44-0AFD-40B6-BA1B-02321CB7FC57"
"C","5","100005","1","4","BLANK","BLANK","None","151D4C1A-4C6A-40FF-BBB8-433C4F36C3C6"
"I","5","100005","1","4","2EAAK","2EAAK","None","0E1C6ACD-1432-46A7-9227-1C6C56EAC1F1"
"C","5","100005","1","5","2EHS","2 EASTBOUND SIGNAL CONTROL","None","567D570E-66FA-4AB7-949A-3CB9782CC061"
"I","5","100005","1","5","2EHK","2 EASTBOUND SIGNAL INDICATION","None","33C78AC2-05CE-474E-A07D-23071D0903A1"
"C","5","100005","1","6","BLANK","BLANK CONTROL","None","BB0A7FFA-53E1-4A8E-9ACE-2CE0115B48F4"
"I","5","100005","1","6","2WAAK","2WAAK","None","9258A78B-8EFE-49C6-90BA-AECC7070E6B7"
"C","5","100005","1","7","2WHS","2 WESTBOUND SIGNAL CONTROL","None","7E53B3BF-2ED1-4D47-85EC-85F603DB33DB"
"I","5","100005","1","7","2WHK","2 WESTBOUND SIGNAL INDICATION","None","4CF8B362-53BC-453D-B69E-05DD6D656FFD"
"C","5","100005","1","8","BLANK","BLANK CONTROL","None","752A2133-8B5C-4679-BFB3-2822FE791043"
"I","5","100005","1","8","POK","POWER OFF INDICATION","None","9200298F-D586-4B85-B72C-7197CBC7232E"
"C","5","100005","1","9","BLANK","BLANK CONTROL","None","1A1D3BAA-7370-47F3-B9BF-43C0121E3181"
"I","5","100005","1","9","LCK","LOCAL CONTROL INDICATION","None","A6D5EA6A-662E-4EDF-AD6D-55E70B2907A6"
"C","5","100005","1","10","BLANK","BLANK CONTROL","None","20F065C8-BE0D-4D50-983B-7D1C9ABBB79B"
"I","5","100005","1","10","2TEK","2 SIGNAL INTIME INDICATION","None","52E9C154-0705-4432-85F4-7AC38EA0DDF4"
"C","5","100005","1","11","BLANK","BLANK CONTROL","None","F80ACEC9-678A-4450-8508-18D1FF2C4E97"
"I","5","100005","1","11","DOK","ILLEGAL ENTRY INDICATION","None","D13EED88-A92D-4B58-BA55-4FD15DB0E84B"
"C","5","100005","1","12","BLANK","BLANK CONTROL","None","548F2590-DC8B-4E1A-B095-A105740575E2"
"I","5","100005","1","12","4TEK","4 SIGNAL INTIME INDICATION","None","889841C1-A801-43AE-8133-91544BB17477"
"C","5","100005","1","13","BLANK","BLANK","None","D5F778BF-D477-4E0F-AD43-93E486214DA5"
"I","5","100005","1","13","LOK","LIGHT OUT INDICATION","None","4FFE5D07-33B1-422E-B115-4E8EA24DC40F"
"C","5","100005","1","14","BLANK","BLANK CONTROL","None","2F9C6604-3F01-4D96-8FB8-A17CBFF2270E"
"I","5","100005","1","14","BLANK","BLANK INDICATION","None","98607C10-5157-4CAC-AC09-188696873D60"
"C","5","100005","1","15","BLANK","BLANK","None","C232D0B0-AD86-4CDC-824A-281ECD907927"
"I","5","100005","1","15","BLANK","BLANK INDICATION","None","84C33A00-E98E-4345-8C21-8C5BEC8878F4"
"C","5","100005","1","16","BLANK","BLANK CONTROL","None","F11F6BEB-7DC9-4129-839C-95676206D2FE"
"I","5","100005","1","16","BLANK","BLANK INDICATION","None","A30CDA60-6669-4BC7-9A32-DE639EA06869"
"C","5","100005","1","17","3NWS","3 NORMAL SWITCH CONTROL","None","586D7096-8755-48A9-98FA-FD485C8ECDDE"
"I","5","100005","1","17","3NWK","3 NORMAL SWITCH INDICATION","None","9DD21B6A-C73F-4CAE-B1D7-4E02BD453264"
"C","5","100005","1","18","BLANK","BLANK CONTROL","None","99D2E220-4AE5-404E-91D9-191A0B970A27"
"I","5","100005","1","18","3TK","3 OS TRACK INDICATION","None","8B9B4C5B-945F-468D-954E-BD1C19FBD547"
"C","5","100005","1","19","3RWS","3 REVERSE SWITCH CONTROL","None","E41B2466-A0BA-4EE2-A7AC-153D965A8340"
"I","5","100005","1","19","3RWK","3 REVERSE SWITCH INDICATION","None","F04EA07D-4C82-482C-9968-57DC4F3694DC"
"C","5","100005","1","20","BLANK","BLANK CONTROL","None","284952E5-F5ED-460D-98E7-5DBB878B51C5"
"I","5","100005","1","20","4EAAK","4EAAK","None","39C51CEE-4115-44E6-97A4-7C4FC3AFD31D"
"C","5","100005","1","21","4EGHS","4 EASTBOUND SIGNAL CONTROL","None","6FB72F6C-E372-454F-A7D7-D8503D62750F"
"I","5","100005","1","21","4EHK","4 EASTBOUND SIGNAL INDICATION","None","F1F26139-0442-4DB4-AF2B-A8F06416F3F1"
