switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,rcps_flag,shared_anchor_raw,rcps_control_distinct_tokens,rcps_indication_distinct_tokens,anchor_equals_rcps_indication,lockbit_raw,tind_raw,anchor_equals_lockbit,anchor_equals_tind,tctl_parts,anchor_present_in_tctl,tctl_all_parts_anchor,tctl_non_anchor_sibling_count,tctl_non_anchor_siblings,switch_blk_bit_raw,switch_blk_bit_is_default_zero,switch_blk_bit_is_nondefault,switch_block_control_parts,switch_block_control_part_count,switch_block_control_nondefault_part_count,switch_block_control_resolved_count,switch_block_control_unresolved_count,switch_block_control_default_zero_count,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,pind_resolved_mnemonics,sctl_resolved_mnemonics,sind_resolved_mnemonics
100477,100008,SAN DIEGO,5,3-SWITCH,MAIN,NORMAL,False,False,0;1;100008,0;1;100008,0;1;100008,True,0;1;100008,0;1;100008,True,True,0;1;100008|0;1;100008,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,3NWS,3NWK,3RWS,3RWK
100220,100009,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100009,0;1;100009,0;1;100009,True,0;1;100009,0;1;100009,True,True,0;1;100009|0;1;100009,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,RWK
100592,100009,SAN DIEGO,5,EAST LEG FALLBROOK YARD,MAIN1,SPM ONLY,True,False,0;1;100009,0;1;100009,0;1;100009,True,0;1;100009,0;1;100009,True,True,0;1;100009|0;1;100009,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,,,,
100597,100009,SAN DIEGO,5,WEST LEG FALLBROOK YARD,MAIN1,SPM ONLY,True,False,0;1;100009,0;1;100009,0;1;100009,True,0;1;100009,0;1;100009,True,True,0;1;100009|0;1;100009,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,,,,
100598,100009,SAN DIEGO,5,WEST LEG LEMON GROVE WYE,MAIN1,SPM ONLY,True,False,0;1;100009,0;1;100009,0;1;100009,True,0;1;100009,0;1;100009,True,True,0;1;100009|0;1;100009,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,,,,
100599,100009,SAN DIEGO,5,EAST LEG LEMON GROVE WYE,MAIN1,SPM ONLY,True,False,0;1;100009,0;1;100009,0;1;100009,True,0;1;100009,0;1;100009,True,True,0;1;100009|0;1;100009,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,,,,
100641,100010,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100010,0;1;100010,0;1;100010,True,0;1;100010,0;1;100010,True,True,0;1;100010|0;1;100010,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100642,100010,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100010,0;1;100010,0;1;100010,True,0;1;100010,0;1;100010,True,True,0;1;100010|0;1;100010,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100708,100011,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100011,0;1;100011,0;1;100011,True,0;1;100011,0;1;100011,True,True,0;1;100011|0;1;100011,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100253,100012,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100012,0;1;100012,0;1;100012,True,0;1;100012,0;1;100012,True,True,0;1;100012|0;1;100012,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,RWK
