component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,bit_position,token_1,token_2,token_3,token_4,expected_word_type,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_word_type,resolved_mnemonic,resolved_long_name,resolved_bit_type,resolved_assignment_uid,match_status,resolution_method,is_default_zero_reference
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL5,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,C,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL6,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL7,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL8,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL9,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND1,indication,9;1;100003,9;1;100003,1,code_line_station_control_point,9,1,100003,,9,1,100003,,I,5,1,100003,9,I,LCK,LOCAL CONTROL INDICAITON,None,B953CDD6-66FA-4B9C-8DC8-FB3196788D29,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND10,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,I,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND11,indication,0;0;100003;5,0;0;100003;5,1,code_line_station_control_point_bit,0,0,100003,5,0,0,100003,5,I,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND12,indication,0;0;100003;5,0;0;100003;5,1,code_line_station_control_point_bit,0,0,100003,5,0,0,100003,5,I,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND13,indication,0;0;100003;5,0;0;100003;5,1,code_line_station_control_point_bit,0,0,100003,5,0,0,100003,5,I,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND2,indication,8;1;100003,8;1;100003,1,code_line_station_control_point,8,1,100003,,8,1,100003,,I,5,1,100003,8,I,POK,POWER OFF INDICATION,None,3E137E87-40D2-4A26-B79F-665B559FF8A9,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND3,indication,13;1;100003,13;1;100003,1,code_line_station_control_point,13,1,100003,,13,1,100003,,I,5,1,100003,13,I,LOK,LIGHT OUT INDICATION,NONE,B5F695C1-F6C0-45E6-960D-45BA950823AD,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND4,indication,11;1;100003,11;1;100003,1,code_line_station_control_point,11,1,100003,,11,1,100003,,I,5,1,100003,11,I,DOK,DOOR OPEN INDICATION,NONE,708F86DE-A0BD-4A21-9F51-CF7300DD9688,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND5,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,I,,,,,,,,,,unresolved,,False
