route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
139@100,C05989C911,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100902,1-SWITCH,1X,FALSE,1,100902;1-SWITCH;FALSE|100903;3-SWITCH;FALSE
139@100,C05989C911,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100903,3-SWITCH,3X,FALSE,2,100902;1-SWITCH;FALSE|100903;3-SWITCH;FALSE
140@100,54E946B00A,100017,FARR,100765,4E-SIGNAL,100768,4W-SIGNAL,100901,1-SWITCH,1-SWITCH,FALSE,1,100901;1-SWITCH;FALSE|100767;3-SWITCH;FALSE
140@100,54E946B00A,100017,FARR,100765,4E-SIGNAL,100768,4W-SIGNAL,100767,3-SWITCH,3-SWITCH,FALSE,2,100901;1-SWITCH;FALSE|100767;3-SWITCH;FALSE
179@100,03757FAD3E,100017,FARR,100754,2E-SIGNAL,100768,4W-SIGNAL,100902,1-SWITCH,1X,TRUE,1,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;FALSE
179@100,03757FAD3E,100017,FARR,100754,2E-SIGNAL,100768,4W-SIGNAL,100901,1-SWITCH,1-SWITCH,TRUE,2,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;FALSE
179@100,03757FAD3E,100017,FARR,100754,2E-SIGNAL,100768,4W-SIGNAL,100767,3-SWITCH,3-SWITCH,FALSE,3,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;FALSE
180@100,C4B29C7D3E,100017,FARR,100765,4E-SIGNAL,100757,2W-SIGNAL,100901,1-SWITCH,1-SWITCH,FALSE,1,100901;1-SWITCH;FALSE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
180@100,C4B29C7D3E,100017,FARR,100765,4E-SIGNAL,100757,2W-SIGNAL,100767,3-SWITCH,3-SWITCH,TRUE,2,100901;1-SWITCH;FALSE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
180@100,C4B29C7D3E,100017,FARR,100765,4E-SIGNAL,100757,2W-SIGNAL,100903,3-SWITCH,3X,TRUE,3,100901;1-SWITCH;FALSE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
195@100,7B3F380460,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100902,1-SWITCH,1X,TRUE,1,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
195@100,7B3F380460,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100901,1-SWITCH,1-SWITCH,TRUE,2,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
195@100,7B3F380460,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100767,3-SWITCH,3-SWITCH,TRUE,3,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
195@100,7B3F380460,100017,FARR,100754,2E-SIGNAL,100757,2W-SIGNAL,100903,3-SWITCH,3X,TRUE,4,100902;1-SWITCH;TRUE|100901;1-SWITCH;TRUE|100767;3-SWITCH;TRUE|100903;3-SWITCH;TRUE
020@100,C1B1216184,100018,PONTO,100334,15-SIGNAL,100328,3-SIGNAL,100333,1-SWITCH,1-SWITCH,FALSE,1,100333;5-SWITCH;FALSE
065@100,EAA5FB5504,100018,PONTO,100334,15-SIGNAL,100327,3-SIGNAL,100333,1-SWITCH,1-SWITCH,TRUE,1,100333;5-SWITCH;TRUE
113@100,282496C784,100018,PONTO,100327,3-SIGNAL,100334,15-SIGNAL,100333,1-SWITCH,1-SWITCH,TRUE,1,100333;5-SWITCH;TRUE
114@100,8AA4A11733,100018,PONTO,100328,3-SIGNAL,100334,15-SIGNAL,100333,1-SWITCH,1-SWITCH,FALSE,1,100333;5-SWITCH;FALSE
022@100,908DAB51BE,100019,SWAMI,100351,54-SIGNAL,100350,53-SIGNAL,100353,1-SWITCH,1-SWITCH,FALSE,1,100353;26-SWITCH;FALSE
047@100,34EDAA9994,100019,SWAMI,100897,54-SIGNAL,100350,53-SIGNAL,100353,1-SWITCH,1-SWITCH,TRUE,1,100353;26-SWITCH;TRUE
116@100,1E6B65E99C,100019,SWAMI,100350,53-SIGNAL,100351,54-SIGNAL,100353,1-SWITCH,1-SWITCH,FALSE,1,100353;26-SWITCH;FALSE
161@100,FF98FC885E,100019,SWAMI,100350,53-SIGNAL,100897,54-SIGNAL,100353,1-SWITCH,1-SWITCH,TRUE,1,100353;26-SWITCH;TRUE
046@100,16B1433C8D,100020,CARDIFF,100890,2W-SIGNAL,100874,2E-SIGNAL,100888,3-SWITCH,3-SWITCH,FALSE,1,100888;3-SWITCH;FALSE|100881;1-SWITCH;FALSE
046@100,16B1433C8D,100020,CARDIFF,100890,2W-SIGNAL,100874,2E-SIGNAL,100881,1-SWITCH,1-SWITCH,FALSE,2,100888;3-SWITCH;FALSE|100881;1-SWITCH;FALSE
