symbol,train_guid,engine_id,direction,train_type,origin,dest,subdivision,track_guid,track_component_name,track_name,track_alias,track_route_name,control_point_name,schedule_status,ptc_status,bulletin_route_code,authority_designation,ctc_authority_designation,home_road_code,active_sub_train_sheet,authority_count_by_symbol,runtime_join_status,runtime_loco_id,runtime_train_symbol,runtime_last_updated,runtime_icd_interface_version,runtime_departure_test_status,runtime_onboard_software_version,runtime_head_end_track_name,runtime_departure_track_name,runtime_departure_location_name
C628,34b1ba22-be6b-4fe9-9317-56469f937290,NCTC 423,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,3A96EDF9-E2E9-4E04-8356-203E9C1E1349,0,exact_engine_to_loco_match,NCTC 423,,2026-03-24 오전 9:05:34,BOS_ICD_3_0,Pass,6.3.24.11,,,
C628DH,1597c2cd-ecf4-4947-b8f5-641acd04994c,NCTC 423,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,EE3112D1-2C85-445D-8DA0-92CA714687E1,0,exact_engine_to_loco_match,NCTC 423,,2026-03-24 오전 9:05:34,BOS_ICD_3_0,Pass,6.3.24.11,,,
C629,3d1cbd74-902b-4363-857b-bd658a53cfe8,NCTC 5008,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,E3DE38A8-CAF6-49B7-9A77-54B693418B59,0,exact_engine_to_loco_match,NCTC 5008,,2026-03-24 오전 9:05:02,BOS_ICD_3_0,Pass,6.3.24.11,,,
C63,0E8F03B8-A4E6-49A6-9C71-97D174DA21AD,,EAST,COMMUTER,,,0,0,,,,,,,,,,,NCTC,BC8F3A51-E8C0-42A2-A903-63CA6000EF05,0,no_engine_id,,,,,,,,,
C630,be903e43-bacd-4d05-a2ba-e6645a8770b1,NCTC 2308,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,0D582B8F-082D-4798-846D-34B8C53DF111,0,exact_engine_to_loco_match,NCTC 2308,,2026-03-24 오전 9:05:32,BOS_ICD_3_0,Pass,6.3.24.11,,,
C631,add89919-62dd-4c37-b642-d4bd5f0a791b,NCTC 5005,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,B4D16CC8-37F8-49CB-9337-BD9E31E71A46,0,exact_engine_to_loco_match,NCTC 5005,,2026-03-24 오전 9:05:43,BOS_ICD_3_0,Pass,6.3.24.11,,,
C632,113de0c5-4e79-4b13-ad37-6b0143666707,NCTC 2306,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,40CE649F-D7AF-46DD-905D-9BE2D354E8AE,0,exact_engine_to_loco_match,NCTC 2306,,2026-03-24 오전 9:05:27,BOS_ICD_3_0,Pass,6.3.24.11,,,
C633,82316c2b-cef9-48e2-97ee-2f1842fd0af5,NCTC 5006,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,D4C8E351-827C-4289-A755-0124DA34E8E6,0,exact_engine_to_loco_match,NCTC 5006,,2026-03-24 오전 9:05:42,BOS_ICD_3_0,Pass,6.3.24.11,,,
C634,b62cf9a3-95c9-4af3-b7ac-4806dbc982d0,NCTC 423,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,E108534C-688A-4685-A9DA-F1E2A663A77B,0,exact_engine_to_loco_match,NCTC 423,,2026-03-24 오전 9:05:34,BOS_ICD_3_0,Pass,6.3.24.11,,,
C635,c84514f8-151a-4bed-a773-4c42b6d32cd4,NCTC 5008,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,EB4DB8FF-E413-4B1A-B6CE-B64004E5C9FD,0,exact_engine_to_loco_match,NCTC 5008,,2026-03-24 오전 9:05:02,BOS_ICD_3_0,Pass,6.3.24.11,,,
C636,b7e6a996-18f6-4281-9bd8-2e431b4fa754,NCTC 2308,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,1C2F1F0E-36E8-41AA-8B54-7E10FCBA005C,0,exact_engine_to_loco_match,NCTC 2308,,2026-03-24 오전 9:05:32,BOS_ICD_3_0,Pass,6.3.24.11,,,
C637,798761f2-4b14-4402-8515-86b7aa94e217,NCTC 5005,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,51C1527B-3947-43FC-A7F0-88141AE350B7,0,exact_engine_to_loco_match,NCTC 5005,,2026-03-24 오전 9:05:43,BOS_ICD_3_0,Pass,6.3.24.11,,,
C638,00aae270-8ae6-45aa-927d-ce45198910ec,NCTC 2309,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,FD0251A1-6CAA-4FAF-BE43-754E53778E97,0,exact_engine_to_loco_match,NCTC 2309,,2026-03-24 오전 9:05:22,BOS_ICD_3_0,Pass,6.3.24.11,,,
C638DH,8037006c-c755-453b-be7f-03a662c1b41a,NCTC 2309,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,92AE0297-CB86-446C-A3BA-296E7DF75F28,0,exact_engine_to_loco_match,NCTC 2309,,2026-03-24 오전 9:05:22,BOS_ICD_3_0,Pass,6.3.24.11,,,
C639,c341dc2c-96d8-445f-8689-cdef7caa9f16,NCTC 5001,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,FEEE41E1-00A7-45B6-A801-A6A098FE1678,0,exact_engine_to_loco_match,NCTC 5001,,2026-03-24 오전 9:05:44,BOS_ICD_3_0,Pass,6.3.24.11,,,
C639DH,d987518f-3a8b-4b17-907c-e12f06f30048,NCTC 5001,WEST,COMMUTER,SAN DIEGO,OCEANSIDE,0,0,,,,,,NONE,,SANDIE,,,NCTC,1ABDF7A2-FCD2-4A98-A384-E05992D9F96E,0,exact_engine_to_loco_match,NCTC 5001,,2026-03-24 오전 9:05:44,BOS_ICD_3_0,Pass,6.3.24.11,,,
C640,cfc31b0f-aa7b-4eea-9a12-98b475136b37,NCTC 2306,EAST,COMMUTER,OCEANSIDE,SAN DIEGO,0,0,,,,,,NONE,,SANDIE,,,NCTC,7B1678E0-5A1D-47C8-B581-A9A750A176B7,0,exact_engine_to_loco_match,NCTC 2306,,2026-03-24 오전 9:05:27,BOS_ICD_3_0,Pass,6.3.24.11,,,
