signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,in_time_type,shared_anchor_raw,fleet_control_bit_raw,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_secondary_part,anchor_equals_fleet,anchor_equals_pctl_secondary,anchor_equals_sctl_primary,anchor_equals_sctl_secondary,anchor_equals_tctl_secondary,core_anchor_all_equal_excluding_sctl_secondary,sctl_secondary_exception,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_mnemonics,pctl_resolved_long_names,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_mnemonics,tctl_resolved_long_names,in_time_resolved_mnemonics,in_time_resolved_long_names,call_on_resolved_mnemonics,call_on_resolved_long_names,near_side_ctl_resolved_mnemonics,entry_route_count,exit_route_count,route_total_count
200263,200017,ESCONDIDO,22,WBNS CIVIC CTR,WBNS CIVIC CTR,L,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,True,True,True,True,True,True,False,SM2WGK,SIGNAL CLEAR,SM2WGHS,SIGNAL CLEAR,,,,,SM2WTEK,SIGNAL CLEAR,,,SM2WGNS,1,1,2
200316,200017,ESCONDIDO,22,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,6;1;200017;0022,0;1;200017;0022,True,True,True,False,True,True,True,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,EGNS,TRAIN READY,,,TEK,SIGNAL INTIME INDICATION,,,EGNS,2,2,4
200317,200017,ESCONDIDO,22,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200318,200017,ESCONDIDO,22,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200324,200017,ESCONDIDO,22,EBNS CIVIC,EBNS CIVIC,R,INTIMEBIT,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,True,True,True,True,True,True,False,SM2EGK,SIGNAL CLEAR,SM2EGHS,SIGNAL CLEAR,,,,,SM2ETEK,SIGNAL CLEAR,,,SM2EGNS,1,1,2
200377,200019,ESCONDIDO,24,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200384,200019,ESCONDIDO,24,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL INDICATION,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,0,2
200391,200019,ESCONDIDO,24,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200330,200020,ESCONDIDO,23,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,3,5
200351,200020,ESCONDIDO,23,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200352,200020,ESCONDIDO,23,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,0,1
200393,200025,ESCONDIDO,25,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,True,True,True,True,True,True,False,NWGK,SIGNAL CLEAR,NWGHS,SIGNAL CLEAR,,,,,NWTEK,SIGNAL CLEAR,,,NWGNS,2,2,4
200413,200025,ESCONDIDO,25,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,True,True,True,True,True,True,False,NEGK,SIGNAL CLEAR,NEGHS,SIGNAL CLEAR,,,,,NETEK,SIGNAL CLEAR,,,NEGNS,1,1,2
200475,200026,ESCONDIDO,26,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,2,4
200476,200026,ESCONDIDO,26,1W-SIGNAL,1W-SIGNAL,L,INTIMEBIT,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,1,2
200428,200027,ESCONDIDO,27,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,0,2
200430,200027,ESCONDIDO,27,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,2,4
200452,200027,ESCONDIDO,27,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,0;1;200027;0027,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,2,4
